month,closeLogDiff,diff(G1121846)_9,diff(G1000037)_12_abs,diff(G0008380)_1,logDiff(G0900698)_6_abs,logDiff(G1109167)_2_abs,logDiff(G1109077)_1
2001-01,-0.018661563479636697,-1.0,37.0,3.1,0.31508104663989545,0.01263880167901732,0.007564354749705515
2001-02,-0.013608512462426475,45.0,780.5,-2.9,0.3703737882968945,0.021849663193160396,0.0010072658158826187
2001-03,-0.01730918592448144,125.0,1745.0,-0.4,0.2170645052378275,0.024647417651333825,0.001653682537790857
2001-04,-0.020688238227858702,-62.0,124.25,0.8,0.11441035117774434,0.020207546840595114,0.003273853961935913
2001-05,-0.02435260283537591,40.0,1462.0,0.0,0.0,0.014481496978209663,0.004835637756109179
2001-06,0.009105629750808919,20.0,1950.3999999999996,-0.20000000000000007,0.1690763300439342,0.012864434165107852,0.00041573554773499666
2001-07,0.04624806312782849,-11.0,6911.75,-0.7,0.5108256237659907,0.023618292969741717,-0.0017174698975370717
2001-08,0.011215823395358357,103.0,4869.25,0.7,0.4168938039317873,0.04647306180996935,0.0011839894279841445
2001-09,-0.007232750975330243,123.0,2278.1000000000004,0.10000000000000009,0.5108256237659907,0.044834911026239155,0.014855149920981248
2001-10,-0.0195728735818282,59.0,4986.0,-0.20000000000000007,0.528844129268669,0.027792335002411406,-0.004485239158652732
2001-11,0.0032426865454232706,24.0,8437.55,0.20000000000000007,0.48342664957787607,0.02162353797491079,0.0051469925810483375
2001-12,-0.009470581162822359,88.0,9816.15,-0.7000000000000001,0.33647223662121273,0.0030497173666130806,0.007412636127259731
2002-01,-0.013890102605744456,137.0,9801.75,1.0,0.4274440148269396,0.010377711558874125,-0.0038473393995026584
2002-02,0.006897832131563197,61.0,7276.5,-1.0,0.3901976359773758,0.009769590510254389,0.0016892175076090865
2002-03,0.01123740471713243,82.0,9069.4,-0.5,0.16705408466316607,0.019067382308577407,0.0022324514365852366
2002-04,0.03491809702199691,187.0,7731.25,1.9,0.14903557916048782,0.014012073885597331,0.0024132022159051303
2002-05,0.041594955268742614,10.0,5532.549999999999,-0.6,0.1251631429540061,0.008521959010995062,0.00021723590802302795
2002-06,0.03614794138812142,-8.0,3589.7000000000007,-0.4,0.061557892999433594,0.030305781332153003,0.0068920861707120196
2002-07,-0.014403479877033531,-50.0,896.75,0.30000000000000004,0.05971923470162244,0.0176379066674599,0.003983679940057883
2002-08,0.0025448268120915954,-5.0,2802.2000000000007,-0.10000000000000009,0.030305349495329148,0.011186734712264723,0.01144140989242004
2002-09,0.0011334847126157968,-106.0,3238.0,0.5,0.0,0.02318381515250678,0.010002242586519827
2002-10,0.020247450433344482,-26.0,307.25,-0.7,0.04512043528046972,0.021446930659529073,0.015811786899403657
2002-11,0.01935044027888159,-66.0,1976.7999999999993,1.0,0.04317217186520872,0.021588534121450564,0.011722145996454714
2002-12,0.04045528807693931,-18.0,1089.5,-0.3999999999999999,0.030305349495329148,0.02998064537624323,0.01071094853481469
2003-01,0.013747207831162615,-152.0,4236.799999999999,-0.6000000000000001,0.0,0.0038697073959550465,0.002956542289616948
2003-02,0.0012079247681369976,-124.0,5787.0,0.6000000000000001,0.085766821757425,0.0035287427728238896,0.007129094675505598
2003-03,0.0069694966153130145,-14.0,5968.549999999999,-0.30000000000000004,0.1950605825713847,0.028575307872168665,0.005056211048133363
2003-04,0.06306468845918568,-11.0,5982.5,0.5,0.17494144949633217,0.030393885528205544,0.008420471769822413
2003-05,0.008068980051100405,-72.0,4580.0,-0.6000000000000001,0.21465693743689118,0.04511559108669516,0.01139346645419792
2003-06,-0.025770862034692033,75.0,3776.0,-0.39999999999999997,0.25642952894767657,0.031665003567034944,0.00645696829089637
2003-07,-0.019690657928504843,-78.0,2387.25,0.39999999999999997,0.29152084875894646,0.003966344039570302,0.009134439708391895
2003-08,0.009168480963039197,-25.0,2723.4000000000015,0.5,0.18687737332981547,0.002576067419582273,0.0003556521510343913
2003-09,0.03833913426823063,-36.0,2112.0,-0.6,0.037271394797231405,0.006122624176514435,0.0001094800082483971
2003-10,0.0016027901038442594,-37.0,1676.3500000000004,0.6,0.0,0.0058582685243493415,-0.005925709495206988
2003-11,0.04999517267385506,151.0,3010.25,-0.8999999999999999,0.12062798778861472,0.020680422910904994,0.004454673553103916
2003-12,0.023176564635573327,-30.0,7980.25,0.39999999999999997,0.11332868530700324,0.02462728735992492,0.00928475835245024
2004-01,0.002987005210907945,-6.0,4876.200000000001,0.20000000000000007,0.13517477836825265,0.01556124477009746,0.005813957243995915
2004-02,-0.030041395059486165,46.0,3126.25,-0.20000000000000007,0.22884157242884773,0.015302807920150485,0.012934586386753821
